Air temperature [K],flow speed ,pressure [N],Target,DateTime
300.4,1411,41.6,0,2022-01-11 10:00:00
303.9,1440,41.1,0,2022-01-11 11:00:00
301.4,1738,30.3,0,2022-01-11 12:00:00
298.4,1523,36.1,0,2022-01-11 13:00:00
300.4,1636,32.3,0,2022-01-11 14:00:00
301.3,1367,64.0,1,2022-01-11 15:00:00
302.3,1476,45.9,1,2022-01-11 16:00:00
301.2,1542,35.0,1,2022-01-11 17:00:00
302.1,1364,47.9,1,2022-01-11 18:00:00
302.9,1402,40.7,0,2022-01-11 19:00:00
301.4,1565,36.1,0,2022-01-11 20:00:00
296.4,1403,48.4,0,2022-01-11 21:00:00
299.2,1370,52.4,0,2022-01-11 22:00:00
295.6,1949,21.9,0,2022-01-11 23:00:00
296.9,1367,47.1,0,2022-01-12 00:00:00
300.7,1548,37.9,0,2022-01-12 01:00:00
301.4,1440,45.6,1,2022-01-12 02:00:00
302.8,1330,54.8,1,2022-01-12 03:00:00
299.2,1597,30.3,0,2022-01-12 04:00:00
299.0,1490,41.1,0,2022-01-12 05:00:00
297.2,1485,47.9,0,2022-01-12 06:00:00
301.8,1332,61.1,1,2022-01-12 07:00:00
298.6,1360,60.9,1,2022-01-12 08:00:00
302.7,1446,55.8,1,2022-01-12 09:00:00
299.8,1369,51.2,1,2022-01-12 10:00:00
299.6,1372,60.4,0,2022-01-12 11:00:00
303.0,1409,41.7,0,2022-01-12 12:00:00
302.4,1578,32.3,0,2022-01-12 13:00:00
302.1,1372,47.2,1,2022-01-12 14:00:00
301.7,1367,64.6,1,2022-01-12 15:00:00
299.5,1417,62.8,1,2022-01-12 16:00:00
302.1,1363,47.8,1,2022-01-12 17:00:00
296.3,2250,15.1,1,2022-01-12 18:00:00
301.1,1519,39.6,0,2022-01-12 19:00:00
302.8,1306,59.5,1,2022-01-12 20:00:00
298.7,1394,40.3,0,2022-01-12 21:00:00
299.3,1359,60.3,1,2022-01-12 22:00:00
301.9,1331,68.4,1,2022-01-12 23:00:00
301.3,2720,9.3,1,2022-01-13 00:00:00
301.8,1411,53.5,1,2022-01-13 01:00:00
300.0,1714,28.7,0,2022-01-13 02:00:00
300.4,2631,12.0,1,2022-01-13 03:00:00
297.6,1414,45.4,0,2022-01-13 04:00:00
301.9,1212,56.1,1,2022-01-13 05:00:00
298.5,1512,36.8,1,2022-01-13 06:00:00
299.2,1442,62.8,1,2022-01-13 07:00:00
302.2,1545,35.9,0,2022-01-13 08:00:00
297.9,1687,29.1,0,2022-01-13 09:00:00
301.0,1511,39.3,0,2022-01-13 10:00:00
298.6,1706,27.5,1,2022-01-13 11:00:00
299.5,2549,13.0,1,2022-01-13 12:00:00
297.4,1530,32.6,0,2022-01-13 13:00:00
302.1,1284,68.1,1,2022-01-13 14:00:00
300.7,1378,54.2,1,2022-01-13 15:00:00
303.3,1341,48.2,1,2022-01-13 16:00:00
300.3,1545,43.5,0,2022-01-13 17:00:00
301.0,1236,64.4,1,2022-01-13 18:00:00
301.1,1367,43.4,0,2022-01-13 19:00:00
297.2,1550,41.5,0,2022-01-13 20:00:00
297.1,2859,4.7,1,2022-01-13 21:00:00
303.4,1344,49.3,1,2022-01-13 22:00:00
301.9,1372,47.8,1,2022-01-13 23:00:00
300.6,1543,34.7,0,2022-01-14 00:00:00
300.4,1815,23.5,0,2022-01-14 01:00:00
300.6,1532,38.7,0,2022-01-14 02:00:00
302.3,1543,37.5,0,2022-01-14 03:00:00
299.5,1294,65.5,1,2022-01-14 04:00:00
298.1,1802,26.9,0,2022-01-14 05:00:00
300.6,1398,49.1,1,2022-01-14 06:00:00
301.2,1231,62.9,1,2022-01-14 07:00:00
298.7,1507,32.3,1,2022-01-14 08:00:00
302.4,1364,66.9,1,2022-01-14 09:00:00
296.5,1566,37.2,0,2022-01-14 10:00:00
296.6,1386,62.3,1,2022-01-14 11:00:00
300.8,1537,33.3,0,2022-01-14 12:00:00
300.5,1659,30.5,1,2022-01-14 13:00:00
299.4,2596,12.3,1,2022-01-14 14:00:00
300.7,1336,66.9,1,2022-01-14 15:00:00
301.2,1233,60.5,1,2022-01-14 16:00:00
300.8,1405,61.2,1,2022-01-14 17:00:00
299.4,1391,46.6,0,2022-01-14 18:00:00
301.8,1399,41.8,0,2022-01-14 19:00:00
303.1,1514,42.1,0,2022-01-14 20:00:00
303.3,1310,52.7,1,2022-01-14 21:00:00
302.2,1382,46.4,0,2022-01-14 22:00:00
301.6,1339,55.7,1,2022-01-14 23:00:00
301.3,1596,33.9,0,2022-01-15 00:00:00
296.8,1549,48.3,0,2022-01-15 01:00:00
298.2,1433,39.5,0,2022-01-15 02:00:00
303.5,1420,45.0,1,2022-01-15 03:00:00
299.0,1477,37.9,0,2022-01-15 04:00:00
301.0,1638,30.1,1,2022-01-15 05:00:00
302.3,1338,56.5,1,2022-01-15 06:00:00
301.9,1557,35.3,0,2022-01-15 07:00:00
298.5,1468,40.9,0,2022-01-15 08:00:00
299.0,1501,43.0,0,2022-01-15 09:00:00
297.2,1805,25.6,0,2022-01-15 10:00:00
301.9,1427,47.7,0,2022-01-15 11:00:00
297.5,2448,13.8,0,2022-01-15 12:00:00
298.4,1392,50.1,0,2022-01-15 13:00:00
296.9,1555,38.2,0,2022-01-15 14:00:00
301.2,1399,54.2,1,2022-01-15 15:00:00
301.9,2667,11.2,1,2022-01-15 16:00:00
299.1,1411,42.1,0,2022-01-15 17:00:00
303.6,1308,52.1,1,2022-01-15 18:00:00
302.3,2034,19.7,0,2022-01-15 19:00:00
301.3,1346,46.7,0,2022-01-15 20:00:00
301.0,1809,25.7,0,2022-01-15 21:00:00
299.9,1451,39.4,0,2022-01-15 22:00:00
301.9,1329,60.5,1,2022-01-15 23:00:00
299.0,1381,56.9,1,2022-01-16 00:00:00
300.5,1452,42.9,0,2022-01-16 01:00:00
299.1,1455,43.0,1,2022-01-16 02:00:00
297.4,1341,52.2,0,2022-01-16 03:00:00
298.8,1428,42.4,0,2022-01-16 04:00:00
303.2,1256,59.9,1,2022-01-16 05:00:00
301.8,1383,50.6,1,2022-01-16 06:00:00
303.8,1269,68.5,1,2022-01-16 07:00:00
297.9,1311,61.0,1,2022-01-16 08:00:00
301.2,2636,12.2,1,2022-01-16 09:00:00
300.9,1427,47.0,0,2022-01-16 10:00:00
297.9,1490,46.2,0,2022-01-16 11:00:00
298.9,2565,12.8,1,2022-01-16 12:00:00
301.4,1329,52.0,0,2022-01-16 13:00:00
302.3,1336,58.2,1,2022-01-16 14:00:00
300.5,1683,31.5,0,2022-01-16 15:00:00
302.3,1374,52.4,0,2022-01-16 16:00:00
296.3,1368,49.5,0,2022-01-16 17:00:00
302.5,1356,44.7,1,2022-01-16 18:00:00
301.3,1368,57.1,1,2022-01-16 19:00:00
302.1,1354,51.6,1,2022-01-16 20:00:00
302.2,1400,51.8,1,2022-01-16 21:00:00
300.0,1533,42.6,0,2022-01-16 22:00:00
299.1,1396,48.9,1,2022-01-16 23:00:00
302.1,1444,44.9,0,2022-01-17 00:00:00
301.4,1459,37.7,0,2022-01-17 01:00:00
303.0,1503,37.0,0,2022-01-17 02:00:00
297.3,1325,75.3,1,2022-01-17 03:00:00
303.4,1297,48.4,1,2022-01-17 04:00:00
297.4,1615,35.4,1,2022-01-17 05:00:00
301.1,1379,48.1,1,2022-01-17 06:00:00
304.2,2113,18.4,0,2022-01-17 07:00:00
302.0,1400,53.9,1,2022-01-17 08:00:00
302.0,1341,50.6,1,2022-01-17 09:00:00
303.1,1334,53.5,1,2022-01-17 10:00:00
302.4,1448,50.5,0,2022-01-17 11:00:00
297.4,1423,38.0,0,2022-01-17 12:00:00
297.3,1384,39.6,0,2022-01-17 13:00:00
300.7,1631,32.6,0,2022-01-17 14:00:00
301.0,1312,61.6,1,2022-01-17 15:00:00
302.3,1348,46.5,1,2022-01-17 16:00:00
302.6,1257,61.2,1,2022-01-17 17:00:00
296.9,1605,37.0,0,2022-01-17 18:00:00
302.4,1509,33.7,1,2022-01-17 19:00:00
300.6,1543,39.6,0,2022-01-17 20:00:00
302.9,1303,49.3,1,2022-01-17 21:00:00
300.9,1374,47.3,1,2022-01-17 22:00:00
302.5,1375,47.0,1,2022-01-17 23:00:00
302.8,1373,47.7,1,2022-01-18 00:00:00
298.8,1513,40.3,0,2022-01-18 01:00:00
297.6,1611,31.0,0,2022-01-18 02:00:00
297.5,1459,45.2,0,2022-01-18 03:00:00
300.3,1364,47.6,0,2022-01-18 04:00:00
301.0,1889,23.5,0,2022-01-18 05:00:00
300.8,1345,61.5,1,2022-01-18 06:00:00
296.9,1400,57.1,1,2022-01-18 07:00:00
299.3,1577,34.9,0,2022-01-18 08:00:00
301.7,1370,51.8,1,2022-01-18 09:00:00
302.9,1307,54.0,1,2022-01-18 10:00:00
301.3,1310,70.4,1,2022-01-18 11:00:00
303.6,1616,29.3,0,2022-01-18 12:00:00
298.1,1425,44.5,0,2022-01-18 13:00:00
301.2,2636,12.2,1,2022-01-18 14:00:00
299.9,1335,52.9,0,2022-01-18 15:00:00
302.1,1341,50.8,0,2022-01-18 16:00:00
298.2,1605,32.0,0,2022-01-18 17:00:00
302.5,1329,50.1,1,2022-01-18 18:00:00
303.7,1514,35.5,0,2022-01-18 19:00:00
298.2,1319,67.8,1,2022-01-18 20:00:00
298.8,1441,40.5,0,2022-01-18 21:00:00
302.8,1369,52.8,1,2022-01-18 22:00:00
304.1,1725,28.3,0,2022-01-18 23:00:00
301.0,1454,44.1,0,2022-01-19 00:00:00
300.7,1377,53.5,1,2022-01-19 01:00:00
299.2,1382,64.4,1,2022-01-19 02:00:00
302.2,1365,65.8,1,2022-01-19 03:00:00
298.1,2136,15.9,0,2022-01-19 04:00:00
299.6,1498,46.9,0,2022-01-19 05:00:00
298.8,1368,49.1,0,2022-01-19 06:00:00
300.3,1438,48.0,1,2022-01-19 07:00:00
299.7,1366,56.3,1,2022-01-19 08:00:00
301.4,1335,57.7,1,2022-01-19 09:00:00
300.2,1550,38.7,0,2022-01-19 10:00:00
303.4,1359,56.9,1,2022-01-19 11:00:00
303.0,1350,52.7,1,2022-01-19 12:00:00
296.7,1927,23.9,0,2022-01-19 13:00:00
301.4,1378,56.5,1,2022-01-19 14:00:00
299.6,1425,45.9,0,2022-01-19 15:00:00
299.8,1376,53.8,1,2022-01-19 16:00:00
302.9,1924,24.0,0,2022-01-19 17:00:00
298.9,1376,51.0,0,2022-01-19 18:00:00
300.6,1401,42.6,0,2022-01-19 19:00:00
302.5,1351,51.0,1,2022-01-19 20:00:00
301.6,1232,65.7,1,2022-01-19 21:00:00
303.7,1316,51.8,0,2022-01-19 22:00:00
301.0,1813,28.5,0,2022-01-19 23:00:00
300.6,1648,31.7,0,2022-01-20 00:00:00
300.5,1373,47.4,0,2022-01-20 01:00:00
298.4,1710,27.3,1,2022-01-20 02:00:00
301.5,1224,60.0,1,2022-01-20 03:00:00
300.8,1429,52.3,0,2022-01-20 04:00:00
298.0,1496,44.9,0,2022-01-20 05:00:00
298.4,1584,31.7,0,2022-01-20 06:00:00
303.1,1523,36.2,1,2022-01-20 07:00:00
300.2,2183,17.8,0,2022-01-20 08:00:00
299.9,1638,29.1,0,2022-01-20 09:00:00
303.3,1360,46.1,1,2022-01-20 10:00:00
302.7,1270,68.8,1,2022-01-20 11:00:00
297.1,1578,35.6,0,2022-01-20 12:00:00
301.6,1285,62.7,1,2022-01-20 13:00:00
297.2,1386,62.3,1,2022-01-20 14:00:00
302.2,1356,48.3,0,2022-01-20 15:00:00
301.3,1236,63.3,1,2022-01-20 16:00:00
297.6,1295,68.1,1,2022-01-20 17:00:00
297.4,1390,52.0,0,2022-01-20 18:00:00
298.7,1282,60.9,1,2022-01-20 19:00:00
301.8,1362,55.6,1,2022-01-20 20:00:00
299.7,1369,63.4,1,2022-01-20 21:00:00
297.9,1618,35.9,0,2022-01-20 22:00:00
301.0,1383,51.6,1,2022-01-20 23:00:00
302.9,1362,46.4,1,2022-01-21 00:00:00
297.1,1401,56.9,1,2022-01-21 01:00:00
303.8,1789,23.5,0,2022-01-21 02:00:00
297.4,1571,39.4,0,2022-01-21 03:00:00
300.3,1537,37.5,0,2022-01-21 04:00:00
301.8,2825,5.8,1,2022-01-21 05:00:00
301.8,1313,64.0,1,2022-01-21 06:00:00
302.7,1333,53.0,1,2022-01-21 07:00:00
299.9,1371,52.3,0,2022-01-21 08:00:00
298.4,1710,27.3,1,2022-01-21 09:00:00
300.9,1438,47.7,1,2022-01-21 10:00:00
302.4,1365,66.4,1,2022-01-21 11:00:00
299.1,1693,31.6,0,2022-01-21 12:00:00
303.5,1428,46.2,0,2022-01-21 13:00:00
301.0,1575,34.6,0,2022-01-21 14:00:00
302.0,1375,54.6,1,2022-01-21 15:00:00
302.7,1287,68.7,1,2022-01-21 16:00:00
299.9,1689,29.0,1,2022-01-21 17:00:00
300.0,1925,21.9,0,2022-01-21 18:00:00
300.1,1440,45.2,1,2022-01-21 19:00:00
302.3,1278,56.5,1,2022-01-21 20:00:00
295.6,1418,46.2,0,2022-01-21 21:00:00
299.2,1526,37.9,0,2022-01-21 22:00:00
297.0,1385,57.0,1,2022-01-21 23:00:00
302.6,1261,70.4,1,2022-01-22 00:00:00
303.7,1448,44.5,0,2022-01-22 01:00:00
297.9,1429,39.1,1,2022-01-22 02:00:00
302.0,1442,44.5,1,2022-01-22 03:00:00
300.5,1475,46.3,0,2022-01-22 04:00:00
303.9,1421,47.7,1,2022-01-22 05:00:00
301.5,1297,64.8,1,2022-01-22 06:00:00
301.7,1325,62.1,1,2022-01-22 07:00:00
296.3,1335,50.5,0,2022-01-22 08:00:00
298.5,1260,54.2,0,2022-01-22 09:00:00
301.3,1386,62.7,1,2022-01-22 10:00:00
302.9,1363,47.2,1,2022-01-22 11:00:00
302.9,1315,51.7,1,2022-01-22 12:00:00
302.1,1224,66.2,1,2022-01-22 13:00:00
295.7,1685,34.9,0,2022-01-22 14:00:00
302.4,1350,45.2,1,2022-01-22 15:00:00
299.5,1672,30.5,0,2022-01-22 16:00:00
301.2,1798,22.3,0,2022-01-22 17:00:00
302.0,1377,53.7,1,2022-01-22 18:00:00
302.5,1358,55.8,1,2022-01-22 19:00:00
302.6,1370,53.0,1,2022-01-22 20:00:00
300.5,1447,46.5,0,2022-01-22 21:00:00
301.8,1284,68.2,1,2022-01-22 22:00:00
300.7,1379,47.7,1,2022-01-22 23:00:00
301.7,1608,33.0,0,2022-01-23 00:00:00
299.2,1445,43.5,0,2022-01-23 01:00:00
298.0,1466,42.6,0,2022-01-23 02:00:00
304.2,1401,53.9,0,2022-01-23 03:00:00
301.6,1365,48.6,1,2022-01-23 04:00:00
301.7,1456,56.6,1,2022-01-23 05:00:00
303.0,1533,38.5,0,2022-01-23 06:00:00
302.9,1683,32.1,0,2022-01-23 07:00:00
